上海	Shanghai
莆田市	Putian Shi 
濮阳市	Puyang Shi
濮陽市	Puyang Shi
潜江市	Qianjiang Shi 
潛江市	Qianjiang Shi 
青浦县	Qingpu Xian 
青浦縣	Qingpu Xian 
青田县	Qingtian Xian 
青田縣	Qingtian Xian 
琼海市	Qionghai Shi 
瓊海市	Qionghai Shi 
曲靖市	Qujing Shi
壤塘县	Rangtang Xian
壤塘縣	Rangtang Xian
日照市	Rizhao Shi 
三台县	Santai Xian
三台縣	Santai Xian
上城区	Shangcheng Qu 
上城區	Shangcheng Qu 
上海地区	Shanghai Diqu
上海地區	Shanghai Diqu
商丘县	Shangqiu Xian 
商丘縣	Shangqiu Xian 
邵阳市	Shaoyang Shi
邵陽市	Shaoyang Shi
沈河区	Shenhe Qu 
沈河區	Shenhe Qu 
十堰	Shiyan 
寿县	Shou Xian 
壽縣	Shou Xian 
泰安市	Tai'an Shi 
台安县	Tai'an Xian 
台安縣	Tai'an Xian 
泰兴市	Taixing Shi 
泰興市	Taixing Shi 
台州市	Taizhou Shi 
泰州市	Taizhou Shi 
郯城县	Tancheng Xian 
郯城縣	Tancheng Xian 
天水市	Tianshui Shi 
通辽市	Tongliao Shi
通遼市	Tongliao Shi
通州区	Tongzhou Qu
通州區	Tongzhou Qu
潍坊市	Weifang Shi 
濰坊市	Weifang Shi 
巍山县	Weishan Xian 
巍山縣	Weishan Xian 
文安县	Wen'an Xian 
文安縣	Wen'an Xian 
吴江市	Wujiang Shi 
吳江市	Wujiang Shi 
乡宁县	Xiangning Xian
鄉寧縣	Xiangning Xian
萧山市	Xiaoshan Shi 
蕭山市	Xiaoshan Shi 
西城区	Xicheng Qu
西城區	Xicheng Qu
西岗区	Xigang Qu
西崗區	Xigang Qu
新昌县	Xinchang Xian 
新昌縣	Xinchang Xian 
新会	Xinhui 
新會	Xinhui 
新密市	Xinmi Shi 
新乡市	Xinxiang Shi 
新鄉市	Xinxiang Shi 
徐汇区	Xuhui Qu 
徐匯區	Xuhui Qu 
雁北地区	Yanbei Diqu 
雁北地區	Yanbei Diqu 
盐城市	Yancheng Shi 
鹽城市	Yancheng Shi 
盐都区	Yandu Qu 
鹽都區	Yandu Qu 
阳泉市	Yangquan Shi 
陽泉市	Yangquan Shi 
烟台市	Yantai Shi 
煙台市	Yantai Shi 
宜昌市	Yichang Shi 
义乌市	Yiwu Shi 
義烏市	Yiwu Shi 
益阳地区	Yiyang Diqu 
益陽地區	Yiyang Diqu 
沂源县	Yiyuan Xian 
沂源縣	Yiyuan Xian 
永康市	Yongkang Shi 
乐清市	Yueqing Shi 
樂清市	Yueqing Shi 
枣庄市	Zaozhuang Shi 
棗莊市	Zaozhuang Shi 
张家港市	Zhangjiagang Shi 
張家港市	Zhangjiagang Shi 
朝阳市	Zhaoyang Shi 
朝陽市	Zhaoyang Shi 
朝阳县	Zhaoyang Xian 
朝陽縣	Zhaoyang Xian 
芝罘区	Zhifu Qu 
芝罘區	Zhifu Qu 
中山市	Zhongshan Shi
中山区	Zhongshang Qu
中山區	Zhongshang Qu
舟山市	Zhoushan Shi 
淄博市	Zibo Shi 
自贡	Zigong 
自貢	Zigong 
邹城市	Zoucheng Shi 
鄒城市	Zoucheng Shi 
	

